Sentence,Label
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔහු යයි.,Correct
ඇය සෙරම් කියයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු පාසලට යයි.,Correct
ඔවුන් යති.,Correct
ඔහු පාසලට ගියේය.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු යති.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔහු යති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔහු යති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔවුන් පොතක් කියවති.,Correct
ඔහු යයි.,Correct
ඔහු යයි.,Correct
ඔහු යයි.,Correct
අපි ගමනට යමු.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
අපි ගමනට යමු.,Correct
ඔවුන් යති.,Correct
ඔහු යයි.,Incorrect
ඔහු යයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු යයි.,Incorrect
ඔහු පාසලට යයි.,Correct
ඔහු පාසලට යයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔහු පාසලට ගියේය.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔවුන් යති.,Incorrect
ඔහු යයි.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Correct
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් යයි.,Incorrect
ඔවුන් යති.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔහු පාසලට ගියේය.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු පාසලට යයි.,Correct
ඔහු යයි.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් යති.,Correct
ඔහු යයි.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් පොතක් කියවති.,Correct
අපි ගමනට යමු.,Correct
ඔහු යයි.,Correct
ඔහු යයි.,Correct
ඔවුන් පොතක් කියවති.,Correct
ඔවුන් යති.,Correct
අපි ගමනට යමු.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
අපි ගමනට යමු.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔවුන් යති.,Correct
ඔවුන් පොතක් කියවති.,Correct
ඔහු යයි.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔවුන් යති.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු යයි.,Correct
ඔවුන් පොතක් කියවති.,Correct
ඔහු යයි.,Incorrect
ඔහු පාසලට යයි.,Correct
ඔවුන් පොතක් කියවති.,Correct
අපි ගමනට යමු.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔවුන් යති.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඔහු යයි.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔහු යයි.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
අපි ගමනට යමු.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔහු පාසලට ගියේය.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔවුන් යති.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔහු පාසලට ගියේය.,Incorrect
ඔවුන් යති.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඇය සෙරම් කියයි.,Incorrect
අපි ගමනට යමු.,Correct
ඔවුන් පොතක් කියවති.,Correct
ඔහු යති.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු යයි.,Correct
ඔවුන් පොතක් කියවති.,Correct
ඔහු පාසලට ගියේය.,Incorrect
ඔහු පාසලට යයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් යයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
අපි ගමනට යමු.,Correct
අපි ගමනට යමු.,Correct
අපි ගමනට යමු.,Incorrect
අපි ගමනට යමු.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඔහු යයි.,Incorrect
ඔහු යයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් පොතක් කියවති.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔවුන් යති.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔහු පාසලට යයි.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔහු පාසලට ගියේය.,Correct
අපි ගමනට යමු.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔවුන් යයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔවුන් යති.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Correct
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔහු යයි.,Correct
ඔවුන් පොතක් කියවති.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඇය සෙරම් කියයි.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔහු පාසලට ගියේය.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඔවුන් යති.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
අපි ගමනට යමු.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔවුන් යති.,Correct
ඔවුන් පොතක් කියවති.,Correct
අපි ගමනට යමු.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඔවුන් පොතක් කියවති.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඇය සෙරම් කියයි.,Correct
ඔහු යති.,Incorrect
ඔහු යයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
අපි ගමනට යමු.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඇය සෙරම් කියයි.,Correct
අපි ගමනට යමු.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔවුන් යයි.,Incorrect
ඔහු යයි.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
අපි ගමනට යමු.,Correct
ඇය සෙරම් කියයි.,Correct
ඔවුන් පොතක් කියවති.,Correct
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු යයි.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔවුන් යති.,Correct
ඔහු යති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔහු ගෙදරට පැමිණෙයි.,Correct
ඇය සෙරම් කියයි.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් යයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔහු පාසලට යයි.,Correct
ඔහු පාසලට යයි.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔවුන් යති.,Correct
ඔවුන් පොතක් කියවති.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් යති.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඇය සෙරම් කියයි.,Correct
ඔවුන් යති.,Incorrect
අපි ගමනට යමු.,Correct
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔවුන් පොතක් කියවති.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔහු පාසලට යයි.,Incorrect
අපි ගමනට යමු.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Correct
ඔහු යති.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඇය සෙරම් කියයි.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඔහු යයි.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් යයි.,Incorrect
ඔවුන් යති.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔවුන් පොතක් කියවති.,Correct
ඔවුන් පොතක් කියවති.,Correct
ඔහු පාසලට යයි.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
අපි ගමනට යමු.,Incorrect
ඇය සෙරම් කියයි.,Correct
ඔහු පාසලට ගියේය.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔහු පාසලට යයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඇය සෙරම් කියයි.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු යයි.,Correct
ඔහු යයි.,Correct
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඇය සෙරම් කියයි.,Correct
ඔවුන් යති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔහු පාසලට යයි.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔවුන් යති.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු යයි.,Correct
ඔවුන් යති.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු යයි.,Correct
ඔහු පාසලට ගියේය.,Incorrect
ඔහු යති.,Incorrect
ඔවුන් යති.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔහු පාසලට යයි.,Correct
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔහු පාසලට යයි.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු යයි.,Correct
ඇය සෙරම් කියයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔවුන් යති.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔවුන් යයි.,Incorrect
ඔවුන් පොතක් කියවති.,Correct
අපි ගමනට යමු.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔහු යති.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු පාසලට යයි.,Correct
අපි ගමනට යමු.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔවුන් පොතක් කියවති.,Correct
ඔහු පාසලට ගියේය.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
අපි ගමනට යමු.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
අපි ගමනට යමු.,Correct
ඔහු පාසලට යයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔහු යයි.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔහු යයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
අපි ගමනට යමු.,Correct
ඔවුන් යයි.,Incorrect
අපි ගමනට යමු.,Correct
අපි ගමනට යමු.,Correct
ඔහු ගෙදරට පැමිණෙයි.,Correct
අපි ගමනට යමු.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔවුන් යයි.,Incorrect
ඔවුන් යති.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු යයි.,Incorrect
ඇය සෙරම් කියයි.,Correct
ඔහු පාසලට ගියේය.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් යයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු යති.,Incorrect
ඔවුන් යති.,Correct
ඇය සෙරම් කියයි.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔවුන් යයි.,Incorrect
ඔහු පාසලට යයි.,Correct
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔවුන් පොතක් කියවති.,Correct
ඔවුන් යයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔවුන් පොතක් කියවති.,Correct
අපි ගමනට යමු.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔවුන් යති.,Incorrect
ඔහු පාසලට යයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඇය සෙරම් කියයි.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Correct
ඔහු පාසලට යයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔහු පාසලට ගියේය.,Correct
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු යති.,Incorrect
ඔහු යයි.,Correct
ඔහු යයි.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔහු යයි.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔහු පාසලට යයි.,Correct
ඔහු යයි.,Incorrect
ඔහු යති.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
ඇය සෙරම් කියයි.,Correct
ඔහු පාසලට යයි.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔහු පාසලට යයි.,Correct
ඔවුන් පොතක් කියවති.,Correct
ඔහු පාසලට ගියේය.,Incorrect
ඔහු යයි.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔවුන් පොතක් කියවති.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඇය සෙරම් කියයි.,Correct
ඔහු පාසලට ගියේය.,Correct
ඔවුන් යයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔවුන් යති.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔවුන් යති.,Correct
ඇය සෙරම් කියයි.,Correct
ඔහු පාසලට යයි.,Incorrect
ඔහු පාසලට යයි.,Correct
අපි ගමනට යමු.,Incorrect
ඔහු යයි.,Correct
ඔහු යයි.,Correct
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු පාසලට ගියේය.,Correct
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔවුන් යති.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් යති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඇය සෙරම් කියයි.,Correct
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔවුන් යයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Correct
ඇය සෙරම් කියයි.,Correct
ඔවුන් යති.,Correct
ඇය සෙරම් කියයි.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔහු පාසලට යයි.,Correct
ඔහු පාසලට යයි.,Correct
ඔවුන් යති.,Correct
ඔහු පාසලට ගියේය.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔහු පාසලට ගියේය.,Correct
ඔහු පාසලට ගියේය.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Correct
ඔහු යයි.,Incorrect
ඔවුන් යති.,Correct
ඔහු යයි.,Correct
ඔහු යති.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔහු යති.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් යති.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් යති.,Incorrect
අපි ගමනට යමු.,Correct
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔහු යයි.,Correct
ඔහු යති.,Incorrect
ඔහු පාසලට යයි.,Correct
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් යයි.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔහු යයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
අපි ගමනට යමු.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් යයි.,Incorrect
ඔවුන් යයි.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් යයි.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් යයි.,Incorrect
ඔහු පාසලට යයි.,Correct
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔවුන් යති.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඔහු යති.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔවුන් යති.,Incorrect
ඔහු යයි.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
ඔවුන් පොතක් කියවති.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔහු පාසලට ගියේය.,Incorrect
අපි ගමනට යමු.,Correct
ඔවුන් යති.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔවුන් යයි.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඔවුන් යයි.,Incorrect
ඔහු යති.,Incorrect
අපි ගමනට යමු.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු යයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Correct
ඔහු පාසලට යයි.,Correct
ඔහු යයි.,Correct
ඔහු යති.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Correct
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔහු පාසලට යයි.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔහු ගෙදරට පැමිණෙයි.,Incorrect
ඔහු පාසලට යයි.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
අපි ගමනට යමු.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔවුන් පොතක් කියවති.,Correct
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔහු පාසලට යයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඇය සෙරම් කියයි.,Correct
ඔහු යයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Correct
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඔහු පාසලට ගියේය.,Correct
ඔහු පාසලට යයි.,Correct
ඇය සෙරම් කියයි.,Correct
ඇය සෙරම් කියයි.,Correct
ඇය සෙරම් කියයි.,Incorrect
ඔවුන් ගෙදර සෙරම් කියති.,Incorrect
ඇය සෙරම් කියයි.,Incorrect
ඔහු පාසලට ගියේය.,Incorrect
අපි පාසලේ ගිහින් පොත් ගත්තා.,Incorrect
ඔවුන් පොතක් කියවති.,Incorrect
